央视,#genre#

CCTV1,http://jiexi.bulisite.top/bestv.php?id=cctv1hd8m/8000000
CCTV2,http://jiexi.bulisite.top/bestv.php?id=cctv2hd8m/8000000
CCTV3,http://jiexi.bulisite.top/bestv.php?id=cctv38m/8000000
CCTV4,http://jiexi.bulisite.top/bestv.php?id=cctv4hd8m/8000000
CCTV5,http://jiexi.bulisite.top/bestv.php?id=cctv58m/8000000
CCTV5+,http://jiexi.bulisite.top/bestv.php?id=cctv5phd8m/8000000
CCTV6,http://jiexi.bulisite.top/bestv.php?id=cctv6hd8m/8000000
CCTV7,http://jiexi.bulisite.top/bestv.php?id=cctv7hd8m/8000000
CCTV8,http://jiexi.bulisite.top/bestv.php?id=cctv8hd8m/8000000
CCTV9,http://jiexi.bulisite.top/bestv.php?id=cctv9hd8m/8000000
CCTV10,http://jiexi.bulisite.top/bestv.php?id=cctv10hd8m/8000000
CCTV11,http://jiexi.bulisite.top/bestv.php?id=cctv11hd8m/8000000
CCTV12,http://jiexi.bulisite.top/bestv.php?id=cctv12hd8m/8000000
CCTV13,http://jiexi.bulisite.top/bestv.php?id=cctv13xwhd8m/8000000
CCTV14,http://jiexi.bulisite.top/bestv.php?id=cctvsehd8m/8000000
CCTV15,http://jiexi.bulisite.top/bestv.php?id=cctv15hd8m/8000000
CCTV16,http://jiexi.bulisite.top/bestv.php?id=cctv16hd8m/8000000
CCTV17,http://jiexi.bulisite.top/bestv.php?id=cctv17hd8m/8000000



CCTV1,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225804/1.m3u8
CCTV1,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225804/1.m3u8
CCTV2,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226195/1.m3u8
CCTV2,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226224/1.m3u8
CCTV3,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226397/1.m3u8
CCTV4,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226191/1.m3u8
CCTV5,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226395/1.m3u8
CCTV5,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226395/1.m3u8
CCTV5+,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225761/1.m3u8
CCTV5+,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225761/1.m3u8
CCTV6,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226393/1.m3u8
CCTV7,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226192/1.m3u8
CCTV8,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226012/1.m3u8
CCTV8,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226391/1.m3u8
CCTV8,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226012/1.m3u8
CCTV8,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226391/1.m3u8
CCTV9,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226197/1.m3u8
CCTV9,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226197/1.m3u8
CCTV10,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226189/1.m3u8
CCTV13,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226233/1.m3u8
CCTV13,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226233/1.m3u8
CCTV14,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226193/1.m3u8
CCTV15,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225785/1.m3u8
CCTV16,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226921/1.m3u8
CCTV16,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226921/1.m3u8

北京淘电影,http://61.148.223.18:8888/newlive/live/hls/57/live.m3u8
