央视,#genre#
CCTV-1综合高清,http://192.168.31.145:4425/rtp/239.93.0.184:5140
CCTV-2财经高清,http://192.168.31.145:4425/rtp/239.93.1.23:6000
CCTV-3综艺高清,http://192.168.31.145:4425/rtp/239.93.1.11:2223
CCTV-4中文国际,http://192.168.31.145:4425/rtp/239.93.1.105:5140
CCTV5高清,http://192.168.31.145:4425/rtp/239.93.42.37:5140
CCTV-5+体育赛事,http://192.168.31.145:4425/rtp/239.93.1.36:8004
CCTV-6电影高清,http://192.168.31.145:4425/rtp/239.93.1.13:2226
CCTV-7国防军事,http://192.168.31.145:4425/rtp/239.93.1.67:5140
CCTV-8电视剧,http://192.168.31.145:4425/rtp/239.93.1.14:2225
CCTV-9纪录高清,http://192.168.31.145:4425/rtp/239.93.1.24:5140
CCTV-10科教高清,http://192.168.31.145:4425/rtp/239.93.1.28:5140
CCTV-11戏曲高清,http://192.168.31.145:4425/rtp/239.93.0.102:5140
CCTV-12社会与法,http://192.168.31.145:4425/rtp/239.93.1.30:8124
CCTV-13新闻,http://192.168.31.145:4425/rtp/239.93.0.66:5140
CCTV-14少儿高清,http://192.168.31.145:4425/rtp/239.93.1.29:6000
CCTV-15音乐高清,http://192.168.31.145:4425/rtp/239.93.0.103:5140
CCTV-16奥林匹克,http://192.168.31.145:4425/rtp/239.93.42.54:5140
CCTV-17农业农村,http://192.168.31.145:4425/rtp/239.93.0.92:5140

卫视,#genre#
四川卫视高清,http://192.168.31.145:4425/rtp/239.93.0.20:1235
湖南卫视高清,http://192.168.31.145:4425/rtp/239.93.0.88:5140
江苏卫视高清,http://192.168.31.145:4425/rtp/239.93.0.89:5140
浙江卫视高清,http://192.168.31.145:4425/rtp/239.93.0.124:5140
东方卫视高清,http://192.168.31.145:4425/rtp/239.93.0.123:5140
北京卫视高清,http://192.168.31.145:4425/rtp/239.93.0.180:5140
深圳卫视高清,http://192.168.31.145:4425/rtp/239.93.0.182:5140
广东卫视高清,http://192.168.31.145:4425/rtp/239.93.0.181:5140
天津卫视高清,http://192.168.31.145:4425/rtp/239.93.0.167:5140
山东卫视高清,http://192.168.31.145:4425/rtp/239.93.0.168:5140
康巴卫视高清,http://192.168.31.145:4425/rtp/239.93.0.41:5140
江西卫视高清,http://192.168.31.145:4425/rtp/239.93.0.134:5140
东南卫视高清,http://192.168.31.145:4425/rtp/239.93.0.42:5140
黑龙江卫视高清,http://192.168.31.145:4425/rtp/239.93.0.183:5140
重庆卫视高清,http://192.168.31.145:4425/rtp/239.93.1.107:5140
贵州卫视高清,http://192.168.31.145:4425/rtp/239.93.0.131:5140
湖北卫视高清,http://192.168.31.145:4425/rtp/239.93.0.250:5140
安徽卫视高清,http://192.168.31.145:4425/rtp/239.93.1.106:5140
河北卫视高清,http://192.168.31.145:4425/rtp/239.93.0.132:5140
辽宁卫视高清,http://192.168.31.145:4425/rtp/239.93.1.108:5140
河南卫视高清,http://192.168.31.145:4425/rtp/239.93.42.45:5140
广西卫视高清,http://192.168.31.145:4425/rtp/239.93.42.46:5140
河南卫视高清,http://192.168.31.145:4425/rtp/239.93.42.45:5140
云南卫视高清,http://192.168.31.145:4425/rtp/239.93.0.174:5140
吉林卫视高清,http://192.168.31.145:4425/rtp/239.93.0.248:5140
陕西卫视,http://192.168.31.145:4425/rtp/239.93.0.125:5140
山西卫视,http://192.168.31.145:4425/rtp/239.93.0.6:5140
内蒙古卫视,http://192.168.31.145:4425/rtp/239.93.0.87:5140
青海卫视,http://192.168.31.145:4425/rtp/239.93.0.192:5140
宁夏卫视,http://192.168.31.145:4425/rtp/239.93.0.74:5140
西藏卫视,http://192.168.31.145:4425/rtp/239.93.0.83:5140
新疆卫视,http://192.168.31.145:4425/rtp/239.93.0.82:5140
甘肃卫视高清,http://192.168.31.145:4425/rtp/239.93.0.81:5140

四川,#genre#
SCTV-2,http://192.168.31.145:4425/rtp/239.93.1.101:5140
SCTV-3,http://192.168.31.145:4425/rtp/239.93.1.102:5140
SCTV-4,http://192.168.31.145:4425/rtp/239.93.0.47:5140
SCTV-5,http://192.168.31.145:4425/rtp/239.93.0.166:5140
SCTV-6,http://192.168.31.145:4425/rtp/239.93.1.144:5140
SCTV-7,http://192.168.31.145:4425/rtp/239.93.0.219:5140
SCTV-科教高清,http://192.168.31.145:4425/rtp/239.93.42.44:5140
四川乡村高清,http://192.168.31.145:4425/rtp/239.93.0.52:5140
峨眉电影高清,http://192.168.31.145:4425/rtp/239.93.0.252:5140

CDTV-1,http://192.168.31.145:4425/rtp/239.93.0.16:5140
CDTV-2,http://192.168.31.145:4425/rtp/239.93.0.17:1239
CDTV-3,http://192.168.31.145:4425/rtp/239.93.0.18:1238
CDTV-4,http://192.168.31.145:4425/rtp/239.93.0.19:1250
CDTV-5,http://192.168.31.145:4425/rtp/239.93.1.231:5140
CDTV-6,http://192.168.31.145:4425/rtp/239.93.0.21:1251
CDTV-8,http://192.168.31.145:4425/rtp/239.93.0.22:1252

凤凰,#genre#
凤凰中文台,http://192.168.31.145:4425/rtp/239.93.0.162:2192
凤凰资讯,http://192.168.31.145:4425/rtp/239.93.0.118:2191

4k,#genre#
中录动漫—4K,http://192.168.31.145:4425/rtp/239.93.1.188:5140
